Name,Variant,Caller,CallerVariant,Count,CNOT:Average,CNOT:SecondMoment,CNOT:Variance,CNOT:Sum,CNOT:Min,CNOT:Max,QubitClifford:Average,QubitClifford:SecondMoment,QubitClifford:Variance,QubitClifford:Sum,QubitClifford:Min,QubitClifford:Max,R:Average,R:SecondMoment,R:Variance,R:Sum,R:Min,R:Max,Measure:Average,Measure:SecondMoment,Measure:Variance,Measure:Sum,Measure:Min,Measure:Max,T:Average,T:SecondMoment,T:Variance,T:Sum,T:Min,T:Max
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCX,Body,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.AndLadder,Body,1080,10,100,0,10800,10,10,2,4,0,2160,2,2,0,0,0,0,0,0,0,0,0,0,0,0,7,49,0,7560,7,7
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.AndLadder,Body,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.MultiControlledU,Body,540,10,100,0,5400,10,10,2,4,0,1080,2,2,0,0,0,0,0,0,0,0,0,0,0,0,7,49,0,3780,7,7
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.ControlledR1Frac,Body,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.MultiControlledU,Body,540,3.2999999999999967,40,29.1640074211503,1782,0,16,1.0000000000000002,3.2,2.20408163265306,540,0,4,0.4500000000000003,1.35,1.149628942486085,243,0,3,0,0,0,0,0,0,1.9500000000000002,13.95,10.166326530612265,1053,0,9
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.PauliZFlip,Body,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCX,Adjoint,1080,0,0,0,0,0,0,1,1,0,1080,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalRzFrac,Body,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCZ,Adjoint,3240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3240,1,1
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.ExpFracZZ,Body,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCZ,Adjoint,3240,2,4,0,6480,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3240,1,1
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.ExpFracZZZ,Body,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCZ,Adjoint,1080,4,16,0,4320,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1080,1,1
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCZ,Adjoint,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCX,Adjoint,1080,10,100,0,10800,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,49,0,7560,7,7
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.PauliZFlip,Adjoint,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCX,Adjoint,1080,0,0,0,0,0,0,1,1,0,1080,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCX,Adjoint,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.AndLadder,Adjoint,1080,10,100,0,10800,10,10,2,4,0,2160,2,2,0,0,0,0,0,0,0,0,0,0,0,0,7,49,0,7560,7,7
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.AndLadder,Adjoint,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.MultiControlledU,Body,540,10,100,0,5400,10,10,2,4,0,1080,2,2,0,0,0,0,0,0,0,0,0,0,0,0,7,49,0,3780,7,7
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.MultiControlledU,Body,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.MultiControlledFromOpAndSinglyCtrldOp,Body,540,23.300000000000008,572,29.16400742115031,12582,20,36,5,27.2,2.2040816326530606,2700,4,8,0.4500000000000003,1.35,1.149628942486085,243,0,3,0,0,0,0,0,0,15.950000000000006,264.55,10.166326530612261,8613,14,23
