Name,Variant,Caller,CallerVariant,Count,Depth:Average,Depth:SecondMoment,Depth:Variance,Depth:Sum,Depth:Min,Depth:Max,StartTimeDifference:Average,StartTimeDifference:SecondMoment,StartTimeDifference:Variance,StartTimeDifference:Sum,StartTimeDifference:Min,StartTimeDifference:Max,Width:Average,Width:SecondMoment,Width:Variance,Width:Sum,Width:Min,Width:Max
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Implementation.Interface_Clifford,Body,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalH,Adjoint,5729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalH,Adjoint,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.PauliZFlip,Adjoint,4622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.PauliZFlip,Adjoint,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCminusIX,Body,1213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCminusIX,Body,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.ControlledT,Body,603,3.4643449419568833,12.51575456053068,0.5149226183589255,2089,2,4,15.313432835820914,1131.3698175787729,898.3584072990533,9234,1,340,0,0,0,0,0,0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalRzFrac,Body,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalT,Body,603,1,1,0,603,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalT,Body,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.ControlledT,Body,603,1,1,0,603,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.PauliZFlip,Body,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCminusIX,Adjoint,1213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Implementation.Interface_CX,Body,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalCX,Adjoint,9776,0,0,0,0,0,0,1.4792348608837909,80.62837561374795,78.44826441705999,14461,0,165,0,0,0,0,0,0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalCX,Adjoint,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.ExpFracZZZ,Adjoint,2426,0,0,0,0,0,0,1,1,0,2426,1,1,0,0,0,0,0,0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalCX,Adjoint,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.ExpFracZZ,Adjoint,7278,0,0,0,0,0,0,0.8333333333333321,0.8333333333333334,0.13890797489808046,6065,0,1,0,0,0,0,0,0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Implementation.Interface_RFrac,Body,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalRFrac,Adjoint,5642,0.9744771357674583,0.9744771357674583,0.024875856683303357,5498,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalRFrac,Adjoint,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalRzFrac,Adjoint,5462,1,1,0,5462,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalRzFrac,Adjoint,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.ExpFracZZ,Adjoint,3639,1,1,0,3639,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.ExpFracZZ,Adjoint,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.ExpFracZZZ,Adjoint,1213,1,1,0,1213,1,1,1,1,0,1213,1,1,0,0,0,0,0,0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.ExpFracZZZ,Adjoint,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCminusIZ,Adjoint,1213,1,1,0,1213,1,1,1,1,0,1213,1,1,0,0,0,0,0,0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.ExpFracZZ,Adjoint,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCminusIZ,Adjoint,2426,1,1,0,2426,1,1,0.5,0.5,0.2501030927835052,1213,0,1,0,0,0,0,0,0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalRzFrac,Adjoint,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCminusIZ,Adjoint,1213,1,1,0,1213,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCminusIZ,Adjoint,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCminusIX,Adjoint,1213,4,16,0,4852,4,4,1,1,0,1213,1,1,0,0,0,0,0,0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.PauliZFlip,Adjoint,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCminusIX,Adjoint,1213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCminusIX,Adjoint,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.ControlledT,Body,603,4,16,0,2412,4,4,1,1,0,603,1,1,0,0,0,0,0,0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.ControlledT,Body,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.ControlledTPower,Body,603,9.792703150912102,142.44278606965173,46.62306959113617,5905,7,57,6.252072968490887,157.91044776119404,119.01941014749076,3770,1,76,0.003316749585406306,0.003316749585406302,0.003311240034599977,2,0,1
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.ControlledTPower,Body,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.ControlledR1Frac,Body,1213,9.652926628194553,131.25391591096454,38.10633837497524,11709,7,57,13.197032151690031,18050.687551525145,17891.27550273576,16008,1,4642,0.0016488046166529312,0.0016488046166529267,0.0016474442168042016,2,0,1
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalCX,Body,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalSWAP,Body,1956,0,0,0,0,0,0,32.878323108384436,328905.47239263804,327992.1734224551,64310,0,18518,0,0,0,0,0,0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalSWAP,Body,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.SWAP,Body,652,0,0,0,0,0,0,98.63496932515336,986716.4171779141,978488.3089442388,64310,4,18518,0,0,0,0,0,0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.SWAP,Body,Microsoft.Quantum.Canon.SwapReverseRegister,Body,324,0,0,0,0,0,0,14.5,230.5,20.312693498452013,4698,10,19,0,0,0,0,0,0
Microsoft.Quantum.Canon.SwapReverseRegister,Body,Microsoft.Quantum.Canon.ApproximateQFT,Body,162,0,0,0,0,0,0,19,361,0,3078,19,19,0,0,0,0,0,0
Microsoft.Quantum.Canon.ApproximateQFT,Body,Microsoft.Quantum.Canon.ApplyQuantumFourierTransformBE,Body,162,28,784,0,4536,28,28,21.129629629629623,451.1666666666667,4.734644582470667,3423,0,27,0.006172839506172847,0.006172839506172839,0.006172839506172837,1,0,1
Microsoft.Quantum.Canon.ApplyQuantumFourierTransformBE,Body,Microsoft.Quantum.Canon.ApplyWithInputTransformationCA,Body,162,28,784,0,4536,28,28,21.129629629629623,451.1666666666667,4.734644582470667,3423,0,27,0.006172839506172847,0.006172839506172839,0.006172839506172837,1,0,1
Microsoft.Quantum.Canon.ApplyWithInputTransformationCA,Body,Microsoft.Quantum.Arithmetic.ApplyReversedOpBECA,Body,162,28,784,0,4536,28,28,21.129629629629623,451.1666666666667,4.734644582470667,3423,0,27,0.006172839506172847,0.006172839506172839,0.006172839506172837,1,0,1
